FlightDate,Airline,Origin,Dest,CRSDepTime,CRSArrTime,Distance,DepDelayMinutes,DepDel15,DepartureDelayGroups,TaxiOut,AirTime,ArrDelayMinutes
2022-07-07,SkyWest Airlines Inc.,FOD,MCW,918,954,61.0,0.0,0.0,-1.0,21.0,22.0,0.0
2022-06-11,SkyWest Airlines Inc.,DTW,DAY,2155,2253,166.0,47.0,1.0,3.0,21.0,33.0,52.0
2022-03-01,American Airlines Inc.,PHX,CMH,1042,1616,1670.0,0.0,0.0,-1.0,14.0,195.0,2.0
2022-07-02,Alaska Airlines Inc.,PDX,BOS,955,1815,2537.0,1.0,0.0,0.0,"22,|.0",281.0,0.0
2022-05-06,Republic Airlines,ATL,LEX,905,1017,304.0,113.0,1.0,7.0,17.0,51.0,116.0
2022-04-10,Southwest Airlines Co.,BNA,BWI,2105,2350,587.0,5.0,0.0,0.0,8.0,78.0,0.0
2022-07-24,American Airlines Inc.,DCA,ORD,1455,1606,612.|0,9.0,0.0,0.0,13.0,91.0,0.0
2022-07-22,SkyWest Airlines Inc.,LBF,DEN,1809,1818,228.0,0.#0,0.0,-1.0,22.0,41.0,0.0
2022-01-06,United Air Lines Inc.,PHX,IAD,1503,2110,1956.0,0.0,0.0,-1.0,10.0,219.0,0.0
2022-04-10,SkyWest Airlines Inc.,LAX,TUS,1440,1606,451.0,0.0,0.0,0.0,18.0,65.0,1.0
2022-05-12,"GoJet Airlines, LLC d/b/a United Express",GSO,EWR,602,747,445.0,97.0,1.0,6.0,33.0,72.0,109.0
2022-02-07,Capital Cargo International,CHA,CLT,513,642,241.0,0.0,0.0,-1.0,23.0,52.0,7.0
2022-05-26,American Airlines Inc.,CLT,DCA,1438,1557,331.0,2|8.0,1.0,1.0,36.0,53.0,42.0
2022-03-09,Delta Air Lines Inc.,DTW,DEN,2159,2319,1123.0,11.0,0.0,0.0,15.0,171.0,14.0
2022-06-22,Southwest Airlines Co.,HOU,MAF,2200,2320,441.0,0.0,0.0,0.0,10.0,61.0,0.0
2022-04-09,Spirit Air Lines,IAH,FLL,1717,2040,966.0,"0,.0",0.0,-1.0,11.0,115.0,0.0
2022-06-12,Southwest Airlines Co.,BWI,CLT,2025,2155,361.0,63.0,1.0,4.0,8.0,56.0,48.0
2022-07-06,Spirit Air Lines,MCO,EWR,1750,2040,937.|0,65.0,1.0,4.0,24.0,131.0,67.0
2022-07-21,Republic Airlines,PHL,IND,1338,1532,588.0,0.0,0.0,0.0,14.0,90.0,1.0
2022-02-05,Air Wisconsin Airlines Corp,CAE,IAD,800,933,401.0,0.0,0.0,-1.0,10.0,60.0,0.0
2022-01-18,Alaska Airlines Inc.,SEA,LAS,2140,2359,867.0,0.0,0.0,-1.0,21.0,111.0,0.0
2022-07-30,Frontier Airlines Inc.,PHL,RSW,1750,2050,993.0,24.0,1.0,1.0,14.0,140.0,4.0
